Date : 2025-05-17 17:46:20
Directory : c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src
Total : 175 files,  12319 codes, 252 comments, 2707 blanks, all 15278 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| PostCSS        |         51 |      4,087 |         56 |        879 |      5,022 |
| HTML           |          1 |      3,424 |          7 |        691 |      4,122 |
| JavaScript JSX |         57 |      3,274 |        189 |      1,111 |      4,574 |
| JSON           |          5 |      1,337 |          0 |          3 |      1,340 |
| XML            |         61 |        197 |          0 |         23 |        220 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        175 |     12,319 |        252 |      2,707 |     15,278 |
| . (Files)                                                                                                                                                          |          4 |        407 |         12 |         85 |        504 |
| General                                                                                                                                                            |         48 |      2,293 |         40 |        574 |      2,907 |
| General\Components                                                                                                                                                 |         26 |      2,107 |         40 |        552 |      2,699 |
| General\Design Elements                                                                                                                                            |         19 |         57 |          0 |          6 |         63 |
| General\Design styles                                                                                                                                              |          3 |        129 |          0 |         16 |        145 |
| Lehekyljed                                                                                                                                                         |        115 |      9,590 |        199 |      2,041 |     11,830 |
| Lehekyljed\Ajalugu                                                                                                                                                 |          1 |         95 |          2 |         38 |        135 |
| Lehekyljed\Dokumendid                                                                                                                                              |          5 |         96 |          3 |         33 |        132 |
| Lehekyljed\Dokumendid (Files)                                                                                                                                      |          1 |         25 |          2 |         12 |         39 |
| Lehekyljed\Dokumendid\Components                                                                                                                                   |          2 |         69 |          1 |         21 |         91 |
| Lehekyljed\Dokumendid\Design elements                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| Lehekyljed\Error404                                                                                                                                                |          3 |        146 |          2 |         44 |        192 |
| Lehekyljed\Error404 (Files)                                                                                                                                        |          2 |        145 |          2 |         44 |        191 |
| Lehekyljed\Error404\Content                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| Lehekyljed\Esileht                                                                                                                                                 |         19 |      4,286 |         27 |        904 |      5,217 |
| Lehekyljed\Esileht (Files)                                                                                                                                         |          2 |        159 |          2 |         53 |        214 |
| Lehekyljed\Esileht\Components                                                                                                                                      |          6 |        641 |         17 |        147 |        805 |
| Lehekyljed\Esileht\Design elements                                                                                                                                 |         11 |      3,486 |          8 |        704 |      4,198 |
| Lehekyljed\Esileht\Design elements (Files)                                                                                                                         |          9 |      3,440 |          7 |        691 |      4,138 |
| Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit_files                                                                                                |          2 |         46 |          1 |         13 |         60 |
| Lehekyljed\Galerii                                                                                                                                                 |          7 |      1,122 |          4 |        111 |      1,237 |
| Lehekyljed\Galerii (Files)                                                                                                                                         |          2 |         86 |          1 |         25 |        112 |
| Lehekyljed\GaleriiLeht                                                                                                                                             |          8 |        292 |          4 |         73 |        369 |
| Lehekyljed\GaleriiLeht (Files)                                                                                                                                     |          2 |         93 |          1 |         24 |        118 |
| Lehekyljed\GaleriiLeht\Components                                                                                                                                  |          4 |        197 |          3 |         49 |        249 |
| Lehekyljed\GaleriiLeht\DesignElements                                                                                                                              |          2 |          2 |          0 |          0 |          2 |
| Lehekyljed\Galerii\Components                                                                                                                                      |          4 |        254 |          3 |         86 |        343 |
| Lehekyljed\Galerii\Content                                                                                                                                         |          1 |        782 |          0 |          0 |        782 |
| Lehekyljed\Juhatus                                                                                                                                                 |          7 |        345 |          4 |         66 |        415 |
| Lehekyljed\Juhatus (Files)                                                                                                                                         |          2 |         65 |          1 |         23 |         89 |
| Lehekyljed\Juhatus\Components                                                                                                                                      |          4 |        208 |          3 |         43 |        254 |
| Lehekyljed\Juhatus\Content                                                                                                                                         |          1 |         72 |          0 |          0 |         72 |
| Lehekyljed\Kontakt                                                                                                                                                 |          1 |         26 |          1 |         12 |         39 |
| Lehekyljed\LiiduKirjeldus                                                                                                                                          |          2 |        124 |          2 |         43 |        169 |
| Lehekyljed\Liikmed                                                                                                                                                 |         16 |      1,053 |         29 |        240 |      1,322 |
| Lehekyljed\Liikmed (Files)                                                                                                                                         |          2 |        112 |         13 |         28 |        153 |
| Lehekyljed\Liikmed\Components                                                                                                                                      |          6 |        798 |         16 |        206 |      1,020 |
| Lehekyljed\Liikmed\Content                                                                                                                                         |          1 |        112 |          0 |          1 |        113 |
| Lehekyljed\Liikmed\Design Elements                                                                                                                                 |          7 |         31 |          0 |          5 |         36 |
| Lehekyljed\Pohikiri                                                                                                                                                |          2 |         61 |          1 |         34 |         96 |
| Lehekyljed\Pohikiri (Files)                                                                                                                                        |          1 |         20 |          1 |         15 |         36 |
| Lehekyljed\Pohikiri\Components                                                                                                                                     |          1 |         41 |          0 |         19 |         60 |
| Lehekyljed\Symboolika                                                                                                                                              |          1 |         95 |          2 |         38 |        135 |
| Lehekyljed\SyndmusteList                                                                                                                                           |         15 |        600 |          8 |        107 |        715 |
| Lehekyljed\SyndmusteList (Files)                                                                                                                                   |          2 |         86 |          2 |         28 |        116 |
| Lehekyljed\SyndmusteList\Components                                                                                                                                |          4 |        209 |          6 |         72 |        287 |
| Lehekyljed\SyndmusteList\Content                                                                                                                                   |          1 |        261 |          0 |          1 |        262 |
| Lehekyljed\SyndmusteList\Design elements                                                                                                                           |          8 |         44 |          0 |          6 |         50 |
| Lehekyljed\UudisLeht                                                                                                                                               |         21 |        775 |         99 |        190 |      1,064 |
| Lehekyljed\UudisLeht (Files)                                                                                                                                       |          2 |         84 |          2 |         19 |        105 |
| Lehekyljed\UudisLeht\Components                                                                                                                                    |         10 |        620 |         13 |        157 |        790 |
| Lehekyljed\UudisLeht\Content                                                                                                                                       |          1 |         33 |         84 |          8 |        125 |
| Lehekyljed\UudisLeht\Design elements                                                                                                                               |          8 |         38 |          0 |          6 |         44 |
| Lehekyljed\Uudised                                                                                                                                                 |          7 |        474 |         11 |        108 |        593 |
| Lehekyljed\Uudised (Files)                                                                                                                                         |          2 |         83 |          3 |         21 |        107 |
| Lehekyljed\Uudised\Components                                                                                                                                      |          4 |        281 |          8 |         86 |        375 |
| Lehekyljed\Uudised\Content                                                                                                                                         |          1 |        110 |          0 |          1 |        111 |
| assets                                                                                                                                                             |          6 |          6 |          0 |          0 |          6 |
| assets (Files)                                                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| assets\General                                                                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| hooks                                                                                                                                                              |          1 |         16 |          1 |          6 |         23 |
| tests                                                                                                                                                              |          1 |          7 |          0 |          1 |          8 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                           | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\App.css                                                                       | PostCSS        |         14 |          0 |          2 |         16 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\App.jsx                                                                       | JavaScript JSX |         39 |          2 |          7 |         48 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\BottomNav_Bar.css                                          | PostCSS        |        134 |          1 |         28 |        163 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\BottomNav_Bar.jsx                                          | JavaScript JSX |         72 |          6 |         33 |        111 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\HeaderSeparatorOne.css                                     | PostCSS        |         17 |          0 |          1 |         18 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\HeaderSeparatorOne.jsx                                     | JavaScript JSX |         11 |          0 |          8 |         19 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\ImageAndContent.css                                        | PostCSS        |        107 |          1 |         20 |        128 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\ImageAndContent.jsx                                        | JavaScript JSX |        122 |          4 |         37 |        163 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\LinkUnderlined.css                                         | PostCSS        |         43 |          0 |          9 |         52 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\LinkUnderlined.jsx                                         | JavaScript JSX |         50 |          0 |         10 |         60 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\MidTextSeparator.css                                       | PostCSS        |         23 |          1 |          4 |         28 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\MidTextSeparator.jsx                                       | JavaScript JSX |         11 |          0 |          7 |         18 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderImage.css                                        | PostCSS        |         36 |          0 |          6 |         42 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderImage.jsx                                        | JavaScript JSX |         30 |          3 |          6 |         39 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderLines.css                                        | PostCSS        |         70 |          1 |         16 |         87 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderLines.jsx                                        | JavaScript JSX |         18 |          0 |         14 |         32 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderPlain.css                                        | PostCSS        |         40 |          0 |          5 |         45 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageHeaderPlain.jsx                                        | JavaScript JSX |         22 |          0 |          8 |         30 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageNavigatorButtons.css                                   | PostCSS        |         79 |          0 |         13 |         92 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PageNavigatorButtons.jsx                                   | JavaScript JSX |        104 |          1 |         36 |        141 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PiltideView.css                                            | PostCSS        |        188 |          1 |         37 |        226 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\PiltideView.jsx                                            | JavaScript JSX |         43 |          1 |         16 |         60 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\ScrollImage.css                                            | PostCSS        |         34 |          5 |          4 |         43 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\ScrollImage.jsx                                            | JavaScript JSX |        119 |          6 |         18 |        143 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\TopNavSidePanel.css                                        | PostCSS        |        119 |          0 |         20 |        139 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\TopNavSidePanel.jsx                                        | JavaScript JSX |        143 |          1 |         48 |        192 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\TopNav_Bar.css                                             | PostCSS        |        273 |          1 |         84 |        358 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Components\TopNav_Bar.jsx                                             | JavaScript JSX |        199 |          7 |         64 |        270 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\Dropdown Arrow down activated.svg                     | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\Dropdown Arrow down.svg                               | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\Kontaktide taust lipukujuline.svg                     | XML            |          1 |          0 |          0 |          1 |
